# generated_by: rrwrite-analyze-repo
# description: Complete file listing with metadata
# total_files: 1000
#
path	type	size_bytes	last_modified	git_tracked
data/raw/kg_microbe_core/old/merged-kg_edges.tsv	data	1077184974	2026-01-25T07:43:33.199046373	False
data/raw/kg_microbe_core/merged-kg_edges.tsv	data	1034256091	2026-02-01T07:57:40.092269659	False
data/raw/kg_microbe_core/merged-kg_nodes.tsv	data	209545218	2026-02-01T07:57:39.707465649	False
data/raw/kg_microbe_core/old/merged-kg_nodes.tsv	data	209096591	2026-01-25T07:43:33.291276932	False
data/taxonomy/ncbitaxon_nodes.tsv	data	141783300	2026-01-08T19:04:55.078046322	False
data/taxonomy/ncbitaxon_edges.tsv	data	129495423	2026-01-08T19:04:55.142484903	False
data/taxonomy/bac120_taxonomy_r226.tsv	data	102585730	2026-01-08T07:49:53.390818119	False
data/processed/bakta_annotations/SAMN02604258/SAMN02604258.json	data	22193523	2026-02-07T07:49:03.363643885	False
data/taxonomy/lpsn_gss_2026-01-08.csv	data	15099434	2026-01-08T07:53:39.545379639	False
data/processed/models/cobrapy/SAMN31331780_full_template.xml	data	12319544	2026-01-20T21:20:50.165655613	False
data/raw/mediadive/mediadive/edges.tsv	data	10454492	2025-12-22T20:20:34.473871469	False
data/raw/mediadive_transform/mediadive/edges.tsv	data	10454492	2025-12-22T20:20:34.473871469	False
data/designs/MP_latinhypercube/plate_designs_v7_maxprooptblock_long/lhs_scatterplot_matrix_v7_maxprooptblock_long.png	figure	8536825	2026-01-24T02:59:02.582767010	False
data/designs/MP_latinhypercube/plate_designs_v8_maxprooptblock_long/lhs_scatterplot_matrix_v8_maxprooptblock_long.png	figure	8409765	2026-01-27T03:48:32.837991476	False
data/pdfs/10.1074_jbc.R116.742023.pdf	doc	8357539	2026-01-08T06:16:42.984661579	False
data/pdfs/10.1074_jbc.R116.742023.pdf	figure	8357539	2026-01-08T06:16:42.984661579	False
data/designs/MP_latinhypercube/plate_designs_v10_maxprooptblock_long/lhs_scatterplot_matrix_v10_maxprooptblock_long.png	figure	6617929	2026-02-24T02:12:47.396526575	False
external_tools/gapmind/PaperBLAST/vspdb/unhit.tsv	data	6599809	2026-01-20T04:11:09.199742556	False
outputs/plate_designs_v10_maxprooptblock_long__results_experimental_analysis_absolute_SWAPPED_LABELS_20260223_144009/optimization/uncertainty_grid_absolute.csv	data	5394536	2026-02-23T20:23:00.321600437	False
outputs/plate_designs_v10_maxprooptblock_long__results_experimental_analysis_absolute/optimization/uncertainty_grid_absolute.csv	data	5394388	2026-02-23T22:40:34.708913088	False
outputs/plate_designs_v10_maxprooptblock_long__results_asezuran_experimental_analysis_absolute/optimization/uncertainty_grid_absolute.csv	data	5366597	2026-02-23T22:41:38.057241201	False
data/designs/MP_latinhypercube/plate_designs_v7_random/lhs_scatterplot_matrix_v7_random.png	figure	5307534	2026-01-24T02:49:13.361956120	False
data/pdfs/https___doi.org_10.1021_bi401618y.pdf	figure	4678387	2026-01-07T03:47:52.868229866	False
data/pdfs/https___doi.org_10.1021_bi401618y.pdf	doc	4678387	2026-01-07T03:47:52.868229866	False
data/processed/bakta_annotations/SAMN02604258/SAMN02604258.svg	figure	4136530	2026-02-07T07:49:03.147343636	False
data/pdfs/https___doi.org_10.1111_j.1365-2958.1990.tb00682.x.pdf	figure	3940583	2026-01-07T03:49:35.310105562	False
data/pdfs/https___doi.org_10.1111_j.1365-2958.1990.tb00682.x.pdf	doc	3940583	2026-01-07T03:49:35.310105562	False
data/pdfs/https___doi.org_10.1039_c8dt01238e.pdf	figure	3835148	2026-01-07T02:46:30.271438122	False
data/pdfs/https___doi.org_10.1039_c8dt01238e.pdf	doc	3835148	2026-01-07T02:46:30.271438122	False
data/pdfs/https___doi.org_10.1371_journal.pcbi.1008024.pdf	doc	3784858	2026-01-07T02:48:56.594709635	False
data/pdfs/https___doi.org_10.1371_journal.pcbi.1008024.pdf	figure	3784858	2026-01-07T02:48:56.594709635	False
data/designs/MP_latinhypercube/plate_designs_v7_maxprooptblock/lhs_scatterplot_matrix_v7_maxprooptblock.png	figure	3629474	2026-01-24T02:49:07.406140089	False
data/pdfs/https___doi.org_10.1038_s41467-024-50342-9.pdf	figure	3628224	2026-01-07T02:46:06.017773390	False
data/pdfs/https___doi.org_10.1038_s41467-024-50342-9.pdf	doc	3628224	2026-01-07T02:46:06.017773390	False
data/pdfs/10.1007_s10858-018-0218-x.pdf	figure	3613071	2026-01-07T03:19:26.683162451	False
data/pdfs/https___doi.org_10.1007_s10858-018-0218-x.pdf	figure	3613071	2026-01-07T03:46:35.195436001	False
data/pdfs/10.1007_s10858-018-0218-x.pdf	doc	3613071	2026-01-07T03:19:26.683162451	False
data/pdfs/https___doi.org_10.1007_s10858-018-0218-x.pdf	doc	3613071	2026-01-07T03:46:35.195436001	False
data/pdfs/10.1007_0-306-46828-X_3.pdf	figure	3587945	2026-01-07T03:18:38.606221199	False
data/pdfs/https___doi.org_10.1007_0-306-46828-X_3.pdf	figure	3587945	2026-01-07T03:46:00.640640259	False
data/pdfs/10.1007_0-306-46828-X_3.pdf	doc	3587945	2026-01-07T03:18:38.606221199	False
data/pdfs/https___doi.org_10.1007_0-306-46828-X_3.pdf	doc	3587945	2026-01-07T03:46:00.640640259	False
data/pdfs/https___doi.org_10.1039_C5EN00074B.pdf	figure	3469747	2026-01-07T03:48:15.295306921	False
data/pdfs/https___doi.org_10.1039_C5EN00074B.pdf	doc	3469747	2026-01-07T03:48:15.295306921	False
data/pdfs/10.1074_jbc.RA119.010023.pdf	doc	3456079	2026-01-08T06:16:33.552803516	False
