# generated_by: rrwrite-analyze-repo
# description: Complete file listing with metadata
# total_files: 163
#
path	type	size_bytes	last_modified	git_tracked
pdf/10.1099_00207713-49-1-137.pdf	figure	4115040	2026-02-15T00:02:40.589115858	True
pdf/10.1099_00207713-49-1-137.pdf	doc	4115040	2026-02-15T00:02:40.589115858	True
pdf/10.1099_00207713-49-1-113.pdf	doc	3691116	2026-02-15T00:02:40.580015898	True
pdf/10.1099_00207713-49-1-113.pdf	figure	3691116	2026-02-15T00:02:40.580015898	True
pdf/10.1099_00207713-49-1-7.pdf	figure	3299759	2026-02-15T00:02:40.625686407	True
pdf/10.1099_00207713-49-1-7.pdf	doc	3299759	2026-02-15T00:02:40.625686407	True
pdf/10.1099_00207713-49-1-149.pdf	doc	2967474	2026-02-15T00:02:40.599485397	True
pdf/10.1099_00207713-49-1-149.pdf	figure	2967474	2026-02-15T00:02:40.599485397	True
pdf/10.1099_00207713-49-1-239.pdf	doc	2394264	2026-02-15T00:02:40.616564989	True
pdf/10.1099_00207713-49-1-239.pdf	figure	2394264	2026-02-15T00:02:40.616564989	True
pdf/10.1099_00207713-47-3-698.pdf	figure	2302249	2026-02-15T00:02:40.534584999	True
pdf/10.1099_00207713-47-3-698.pdf	doc	2302249	2026-02-15T00:02:40.534584999	True
pdf/10.1099_00207713-49-1-193.pdf	doc	2207071	2026-02-15T00:02:40.610485315	True
pdf/10.1099_00207713-49-1-193.pdf	figure	2207071	2026-02-15T00:02:40.610485315	True
pdf/10.1099_00207713-47-3-713.pdf	figure	2062447	2026-02-15T00:02:40.555385351	True
pdf/10.1099_00207713-47-3-713.pdf	doc	2062447	2026-02-15T00:02:40.555385351	True
pdf/10.1099_00207713-47-3-767.pdf	figure	2015856	2026-02-15T00:02:40.563722610	True
pdf/10.1099_00207713-47-3-767.pdf	doc	2015856	2026-02-15T00:02:40.563722610	True
pdf/10.1099_00207713-47-3-615.pdf	doc	1847440	2026-02-15T00:02:40.524584770	True
pdf/10.1099_00207713-47-3-615.pdf	figure	1847440	2026-02-15T00:02:40.524584770	True
downloads/2305.13338.pdf	doc	1710200	2026-02-15T00:02:40.509631634	True
downloads/2305.13338.pdf	figure	1710200	2026-02-15T00:02:40.509631634	True
pdf/10.1099_00207713-27-1-44.pdf	figure	1511878	2026-02-15T00:02:40.516655445	True
pdf/10.1099_00207713-27-1-44.pdf	doc	1511878	2026-02-15T00:02:40.516655445	True
pdf/10.1099_00207713-47-3-709.pdf	doc	1399539	2026-02-15T00:02:40.546735287	True
pdf/10.1099_00207713-47-3-709.pdf	figure	1399539	2026-02-15T00:02:40.546735287	True
pdf/10.1099_00207713-47-3-910.pdf	figure	782298	2026-02-15T00:02:40.572328329	True
pdf/10.1099_00207713-47-3-910.pdf	doc	782298	2026-02-15T00:02:40.572328329	True
pdf/10.1099_00207713-49-1-97.pdf	figure	748074	2026-02-15T00:02:40.629391432	True
pdf/10.1099_00207713-49-1-97.pdf	doc	748074	2026-02-15T00:02:40.629391432	True
pdf/10.1099_00207713-49-1-163.pdf	doc	576551	2026-02-15T00:02:40.602286339	True
pdf/10.1099_00207713-49-1-163.pdf	figure	576551	2026-02-15T00:02:40.602286339	True
pdf/10.1099_00207713-49-1-175.pdf	figure	555287	2026-02-15T00:02:40.604825974	True
pdf/10.1099_00207713-49-1-175.pdf	doc	555287	2026-02-15T00:02:40.604825974	True
raw_text/ISMEJ-D-23-00472.txt	doc	150881	2026-02-15T00:02:40.630473375	True
raw_text/ISMEJ-D-24-01066.txt	doc	95868	2026-02-15T00:02:40.633040190	True
raw_text/ISMEJ-D-24-00473.txt	doc	92586	2026-02-15T00:02:40.632240772	True
raw_text/ISMEJ-D-23-00526.txt	doc	84414	2026-02-15T00:02:40.630849838	True
raw_text/ISMEJ-D-24-00069.txt	doc	73648	2026-02-15T00:02:40.631839037	True
raw_text/ISMEJ-D-23-00112.txt	doc	69318	2026-02-15T00:02:40.629851341	True
raw_text/ISMEJ-D-24-00895.txt	doc	68957	2026-02-15T00:02:40.632587910	True
raw_text/ISMEJ-D-23-00563.txt	doc	62675	2026-02-15T00:02:40.631154299	True
raw_text/ISMEJ-D-23-00609.txt	doc	56754	2026-02-15T00:02:40.631457567	True
src/evaluation/visualize_results.py	script	37854	2026-02-15T00:02:40.635161400	True
src/paper_reviewer/api/openrouter_client_with_json.py	script	31685	2026-02-15T00:02:40.636148691	True
README.md	doc	27896	2026-02-15T00:02:40.502282858	True
src/paper_reviewer/models/paper_processor.py	script	23480	2026-02-15T00:02:40.636760235	True
src/pipeline_runner.py	script	23041	2026-02-15T00:02:40.637444019	True
convert_reviews_to_json.py	script	21312	2026-02-15T00:02:40.502737761	True
src/tests/generate_ijsem_reviews_with_json.py	script	19263	2026-02-15T00:02:40.638650179	True
src/tests/test_raw_text_reviews_mock.py	script	18756	2026-02-15T00:02:40.640700817	True
src/tests/generate_ijsem_reviews.py	script	17023	2026-02-15T00:02:40.638566256	True
src/evaluation/visualize_ijsem_results.py	script	16644	2026-02-15T00:02:40.634968758	True
src/tests/test_all_llms_with_schema.py	script	15973	2026-02-15T00:02:40.639110804	True
src/paper_reviewer/api/openrouter_client.py	script	14209	2026-02-15T00:02:40.635948896	True
src/tests/test_review_from_raw_text.py	script	14012	2026-02-15T00:02:40.640955925	True
src/tests/test_ijsem_samples.py	script	13036	2026-02-15T00:02:40.639730930	True
src/paper_reviewer/api/google_ai_client.py	script	13019	2026-02-15T00:02:40.635762930	True
src/tests/test_review_all_models.py	script	12572	2026-02-15T00:02:40.640798569	True
src/tests/test_ijsem_reviews_with_delay.py	script	12276	2026-02-15T00:02:40.639556408	True
src/paper_reviewer/api/semantic_scholar_client.py	script	12195	2026-02-15T00:02:40.636416674	True
src/evaluation/compare_all_reviews.py	script	11169	2026-02-15T00:02:40.634026289	True
src/evaluation/metrics.py	script	11024	2026-02-15T00:02:40.634464741	True
src/paper_reviewer/api/pubmed_client.py	script	10616	2026-02-15T00:02:40.636269569	True
src/tests/test_ijsem_title_search.py	script	10383	2026-02-15T00:02:40.639801502	True
src/tests/test_ijsem_reviews_improved.py	script	10324	2026-02-15T00:02:40.639481544	True
src/paper_reviewer/main.py	script	9844	2026-02-15T00:02:40.636508465	True
src/tests/test_pubmed_integration.py	script	9777	2026-02-15T00:02:40.640433073	True
src/evaluation/barplot_comparison.py	script	9467	2026-02-15T00:02:40.633913994	True
src/paper_reviewer/api/google_ai_client_new.py	script	9400	2026-02-15T00:02:40.635851622	True
src/tests/test_pubmed_client.py	script	9386	2026-02-15T00:02:40.640353680	True
src/tests/test_pubmed_api.py	script	9210	2026-02-15T00:02:40.640261650	True
src/paper_reviewer/models/prompt_schema_handler.py	script	8913	2026-02-15T00:02:40.637124538	True
src/tests/test_ijsem_reviews_with_title.py	script	8675	2026-02-15T00:02:40.639621496	True
src/paper_reviewer/utils/pdf_extractor.py	script	8413	2026-02-15T00:02:40.637315035	True
src/evaluation/review_finder.py	script	7708	2026-02-15T00:02:40.634578228	True
src/paper_reviewer/models/prompt_schema.py	script	7553	2026-02-15T00:02:40.637037754	True
src/tests/test_raw_text_reviews.py	script	7202	2026-02-15T00:02:40.640551090	True
run_pipeline_with_models.py	script	6989	2026-02-15T00:02:40.633441210	True
src/paper_reviewer/api/deepseek_client.py	script	6737	2026-02-15T00:02:40.635681152	True
src/tests/test_review_all_models_pytest.py	script	6550	2026-02-15T00:02:40.640884638	True
src/evaluation/compare_specific_reviews.py	script	6376	2026-02-15T00:02:40.634205818	True
src/tests/test_ijsem_reviews.py	script	5395	2026-02-15T00:02:40.639409304	True
src/tests/test_paper_processor.py	script	5357	2026-02-15T00:02:40.640104294	True
src/tests/test_gemini_25_review.py	script	5216	2026-02-15T00:02:40.639324903	True
src/utils/extract_text_from_pdfs.py	script	5111	2026-02-15T00:02:40.641273499	True
src/evaluation/evaluate_reviews.py	script	5105	2026-02-15T00:02:40.634293795	True
src/tests/extract_ijsem_titles_improved.py	script	5027	2026-02-15T00:02:40.638118744	True
src/evaluation/compare_ijsem_reviews.py	script	4985	2026-02-15T00:02:40.634103537	True
run_pipeline_with_json.py	script	4613	2026-02-15T00:02:40.633320570	True
src/tests/extract_ijsem_titles.py	script	4545	2026-02-15T00:02:40.637921095	True
src/paper_reviewer/models/prompt_json_schema.py	script	4505	2026-02-15T00:02:40.636843204	True
src/evaluation/manual_compare.py	script	4438	2026-02-15T00:02:40.634363890	True
src/tests/generate_ijsem_review_all_combinations_with_json.py	script	4107	2026-02-15T00:02:40.638400793	True
AIreviewer_rules.txt	doc	3851	2026-02-15T00:02:40.502049207	True
src/paper_reviewer/api/arxiv_client.py	script	3577	2026-02-15T00:02:40.635541916	True
model_comparison_summary.md	doc	3489	2026-02-15T00:02:40.510079144	True
src/tests/test_common_content.py	script	3456	2026-02-15T00:02:40.639189482	True
convert_prompts_to_json.py	script	3424	2026-02-15T00:02:40.502612352	True
src/tests/generate_ijsem_review_all_combinations.py	script	3414	2026-02-15T00:02:40.638305664	True
src/tests/generate_ijsem_review_sets.py	script	3385	2026-02-15T00:02:40.638465166	True
src/tests/generate_reviews_with_api_results.py	script	3369	2026-02-15T00:02:40.638746500	True
src/extract_text.py	script	3343	2026-02-15T00:02:40.635249376	True
src/evaluation/run_evaluation.py	script	3300	2026-02-15T00:02:40.634651899	True
src/tests/run_tests.py	script	2913	2026-02-15T00:02:40.638881683	True
OPENROUTER_TESTING.md	doc	2872	2026-02-15T00:02:40.502125025	True
src/evaluation/README.md	doc	2855	2026-02-15T00:02:40.633744240	True
src/tests/test_single_file.py	script	2826	2026-02-15T00:02:40.641125679	True
src/tests/test_evaluation_pair.py	script	2786	2026-02-15T00:02:40.639267683	True
archive_directories.py	script	2670	2026-02-15T00:02:40.502538442	True
src/tests/test_openrouter.py	script	2548	2026-02-15T00:02:40.640010834	True
src/tests/README_TESTS.md	doc	2543	2026-02-15T00:02:40.637640476	True
list_openrouter_models.py	script	2368	2026-02-15T00:02:40.509997129	True
src/tests/README.md	doc	2223	2026-02-15T00:02:40.637566090	True
src/tests/switch_openrouter_model.py	script	2200	2026-02-15T00:02:40.638952732	True
src/tests/test_semantic_scholar.py	script	1935	2026-02-15T00:02:40.641026020	True
pdf/10.1099_00207713-49-1-167.pdf	doc	1858	2026-02-15T00:02:40.602419138	True
pdf/10.1099_00207713-49-1-179.pdf	doc	1858	2026-02-15T00:02:40.604966879	True
pdf/10.1099_00207713-49-1-189.pdf	doc	1858	2026-02-15T00:02:40.605035305	True
pdf/10.1099_00207713-49-1-223.pdf	doc	1858	2026-02-15T00:02:40.610730648	True
pdf/10.1099_00207713-49-1-25.pdf	doc	1858	2026-02-15T00:02:40.617061377	True
pdf/10.1099_00207713-47-3-908.pdf	doc	1858	2026-02-15T00:02:40.563967705	True
pdf/10.1099_00207713-49-1-87.pdf	doc	1858	2026-02-15T00:02:40.626111746	True
pdf/10.1099_00207713-49-1-257.pdf	doc	1858	2026-02-15T00:02:40.617139578	True
pdf/10.1099_00207713-49-1-37.pdf	doc	1858	2026-02-15T00:02:40.617218971	True
pdf/10.1099_00207713-49-1-103.pdf	doc	1858	2026-02-15T00:02:40.572534561	True
pdf/10.1099_00207713-49-1-67.pdf	doc	1858	2026-02-15T00:02:40.617286921	True
pdf/10.1099_00207713-49-1-67.pdf	figure	1858	2026-02-15T00:02:40.617286921	True
pdf/10.1099_00207713-47-3-895.pdf	doc	1858	2026-02-15T00:02:40.563890696	True
pdf/10.1099_00207713-49-1-189.pdf	figure	1858	2026-02-15T00:02:40.605035305	True
pdf/10.1099_00207713-30-1-225.pdf	figure	1858	2026-02-15T00:02:40.516848086	True
pdf/10.1099_00207713-37-4-463.pdf	figure	1858	2026-02-15T00:02:40.516924143	True
pdf/10.1099_00207713-47-3-908.pdf	figure	1858	2026-02-15T00:02:40.563967705	True
pdf/10.1099_00207713-49-1-103.pdf	figure	1858	2026-02-15T00:02:40.572534561	True
pdf/10.1099_00207713-49-1-167.pdf	figure	1858	2026-02-15T00:02:40.602419138	True
pdf/10.1099_00207713-49-1-179.pdf	figure	1858	2026-02-15T00:02:40.604966879	True
pdf/10.1099_00207713-49-1-223.pdf	figure	1858	2026-02-15T00:02:40.610730648	True
pdf/10.1099_00207713-49-1-25.pdf	figure	1858	2026-02-15T00:02:40.617061377	True
pdf/10.1099_00207713-49-1-257.pdf	figure	1858	2026-02-15T00:02:40.617139578	True
pdf/10.1099_00207713-49-1-37.pdf	figure	1858	2026-02-15T00:02:40.617218971	True
pdf/10.1099_00207713-49-1-87.pdf	figure	1858	2026-02-15T00:02:40.626111746	True
pdf/10.1099_00207713-30-1-225.pdf	doc	1858	2026-02-15T00:02:40.516848086	True
pdf/10.1099_00207713-37-4-463.pdf	doc	1858	2026-02-15T00:02:40.516924143	True
pdf/10.1099_00207713-47-3-895.pdf	figure	1858	2026-02-15T00:02:40.563890696	True
src/evaluation/schemas/README.md	doc	1722	2026-02-15T00:02:40.634760141	True
src/tests/test_new_format_with_rules.py	script	1711	2026-02-15T00:02:40.639929533	True
src/tests/test_new_format.py	script	1693	2026-02-15T00:02:40.639869213	True
src/tests/test_parse_filename.py	script	1432	2026-02-15T00:02:40.640176535	True
archive_and_run.sh	script	1288	2026-02-15T00:02:40.502465248	True
src/tests/example_prompt_no_rules.txt	doc	988	2026-02-15T00:02:40.637843370	True
extract_pdf.py	script	977	2026-02-15T00:02:40.509892464	True
run_all_models.sh	script	949	2026-02-15T00:02:40.633213043	True
setup.py	config	683	2026-02-15T00:02:40.633581161	True
setup.py	script	683	2026-02-15T00:02:40.633581161	True
run_tests.py	script	371	2026-02-15T00:02:40.633507729	True
requirements.txt	config	333	2026-02-15T00:02:40.633138657	True
requirements.txt	doc	333	2026-02-15T00:02:40.633138657	True
src/evaluation/__init__.py	script	49	2026-02-15T00:02:40.633822441	True
src/tests/__init__.py	script	46	2026-02-15T00:02:40.637704134	True
src/paper_reviewer/utils/__init__.py	script	1	2026-02-15T00:02:40.637225866	True
src/paper_reviewer/models/__init__.py	script	1	2026-02-15T00:02:40.636627197	True
