DOI,Title,Year,Authors,Quote,Topic
10.1038/s41579-020-00458-8,"Innovations to culturing the uncultured microbial majority",2021,"William H Lewis, Guillaume Tahon, Patricia Geesink, Diana Z Sousa, Thijs J G Ettema","Despite the surge of microbial genome data, experimental testing is important to confirm inferences about the cell biology, ecological roles and evolution of microorganisms.",uncultured_microorganisms
10.1038/s41598-019-43182-x,"Development of a novel cultivation technique for uncultured soil bacteria",2019,"Dhiraj Kumar Chaudhary, Altankhuu Khulan, Jaisoo Kim","The newly developed technique resulted in the successful cultivation of 35 previously uncultured strains, whereas no such strains were successfully cultivated by the traditional method. The use of soil collected in summer, a prolonged incubation period, and low-substrate modified media increased the recovery of uncultured and novel isolates.",uncultured_microorganisms
10.3389/fmicb.2020.610001,"Culturing of Unculturable Subsurface Microbes: Natural Organic Carbon Source Fuels the Growth of Diverse and Distinct Bacteria From Groundwater",2020,"Xiaoqin Wu, Sarah Spencer, Sara Gushgari-Doyle, Mon Oo Yee, Jana Voriskova, Yifan Li, Eric J Alm, Romy Chakraborty","Complex carbon sources such as sediment dissolved organic matter and bacterial cell lysate are far more effective in enriching diverse and distinct bacteria from groundwater than simple carbon sources. Subsequent isolation from complex carbon enrichments yielded 228 bacterial isolates representing five phyla, 17 orders, and 56 distinct species.",uncultured_microorganisms
