# generated_by: rrwrite-analyze-repo
# description: Complete file listing with metadata
# total_files: 1000
#
path	type	size_bytes	last_modified	git_tracked
manuscript/MicroGrowAgents_v4/figures/lhs_scatterplot_matrix_v7_maxprooptblock_long.png	figure	8536825	2026-01-24T02:59:02.582767010	False
manuscript/roastchip_v2/figures/lhs_scatterplot_matrix_v7_maxprooptblock_long.png	figure	8536825	2026-01-24T02:59:02.582767010	False
manuscript/roastchip_v3/figures/lhs_scatterplot_matrix_v7_maxprooptblock_long.png	figure	8536825	2026-03-03T19:37:26.261745930	False
manuscript/roastchip_v4/figures/lhs_scatterplot_matrix_v7_maxprooptblock_long.png	figure	8536825	2026-03-03T21:55:11.020804644	False
manuscript/MicroGrowAgents_v6/figures/lhs_scatterplot_matrix_v7_maxprooptblock_long.png	figure	8536825	2026-01-24T02:59:02.582767010	False
manuscript/MicroGrowAgents_v4/figures/lhs_scatterplot_matrix_v8_maxprooptblock_long.png	figure	8409765	2026-01-27T03:48:32.837991476	False
manuscript/MicroGrowAgents_v6/figures/lhs_scatterplot_matrix_v8_maxprooptblock_long.png	figure	8409765	2026-01-27T03:48:32.837991476	False
manuscript/roastchip_v2/figures/lhs_scatterplot_matrix_v8_maxprooptblock_long.png	figure	8409765	2026-01-27T03:48:32.837991476	False
manuscript/roastchip_v3/figures/lhs_scatterplot_matrix_v8_maxprooptblock_long.png	figure	8409765	2026-03-03T19:37:26.274564981	False
manuscript/roastchip_v4/figures/lhs_scatterplot_matrix_v8_maxprooptblock_long.png	figure	8409765	2026-03-03T21:55:11.038481951	False
manuscript/MicroGrowAgents_v4/figures/10.1074_jbc.R116.742023.pdf	doc	8357539	2026-01-08T06:16:42.984661579	False
manuscript/roastchip_v4/figures/10.1074_jbc.R116.742023.pdf	doc	8357539	2026-03-03T21:55:10.942881584	False
manuscript/roastchip_v3/figures/10.1074_jbc.R116.742023.pdf	doc	8357539	2026-03-03T19:37:26.195865631	False
manuscript/MicroGrowAgents_v6/figures/10.1074_jbc.R116.742023.pdf	doc	8357539	2026-01-08T06:16:42.984661579	False
manuscript/roastchip_v2/figures/10.1074_jbc.R116.742023.pdf	doc	8357539	2026-01-08T06:16:42.984661579	False
manuscript/roastchip_v4/figures/10.1074_jbc.R116.742023.pdf	figure	8357539	2026-03-03T21:55:10.942881584	False
manuscript/MicroGrowAgents_v4/figures/10.1074_jbc.R116.742023.pdf	figure	8357539	2026-01-08T06:16:42.984661579	False
manuscript/roastchip_v2/figures/10.1074_jbc.R116.742023.pdf	figure	8357539	2026-01-08T06:16:42.984661579	False
